burnr_n,gewicht,geschle,dienstja,natkat,ausbild,anforni,berufst,taetigk,iwaz,kurzastd,bezstd,blimok,sozabg,zulagen,verduz,xiiimloh,sonderza,ibgr,alter,mnliu,mbls,gewibgrs,privoef,untgroe,anzlohn,zivsta,lohnver,lohnform,buwaz1,buwaz2,anzbe,gr,nog_2,wart,nog_2_08,noga08_2,noga08,plzan,arbkto,erhebja
10848513,1.0009329319000244,1,8,1,5,2,5,23,43,-9,-9,7454,800,0,0,7043,0,1.023809552192688,30,7188,7480,1.0760029554367065,2,35404,35371,1,3,1,42,0,35404,3,75,7521A,84,84,841100,4310,AG,2010
10848513,1.0009329319000244,1,9,1,3,2,5,24,42,-9,-9,10294,1337,0,0,9508,0,1,43,9659,10558,1.0509796142578125,2,35404,35371,2,3,1,42,0,35404,2,75,7521A,84,84,841100,3063,BE,2010
10819330,1.0009329319000244,1,2,1,6,4,5,38,4.199999809265137,-9,-9,389,39,0,0,380,0,0.10000000149011612,27,379,4010,0.10509796440601349,2,35404,35371,1,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,2,4,1,3,3,5,28,16.799999237060547,-9,-9,1803,197,0,0,1134,0,0.3999998867511749,31,1693,4519,0.42039185762405396,2,35404,35371,1,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,2,1,1,1,2,5,28,16.799999237060547,-9,-9,3793,554,0,0,3626,0,0.3999998867511749,45,3502,9750,0.42039185762405396,2,35404,35371,2,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,1,4,1,6,3,5,23,25.200000762939453,-9,-9,2856,313,0,0,2794,0,0.6000000238418579,22,2755,4903,0.6305877566337585,2,35404,35371,1,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,2,1,1,1,2,5,28,25.200000762939453,-9,-9,5606,818,0,0,5439,0,0.6000000238418579,47,5183,9617,0.6305877566337585,2,35404,35371,2,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,2,7,1,1,2,2,24,25.200000762939453,-9,-9,6619,924,0,0,6884,0,0.6000000238418579,42,6198,11417,0.6305877566337585,2,35404,35371,2,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,1,9,1,2,2,3,38,33.599998474121094,-9,-9,7336,942,0,0,7252,0,0.7999998927116394,54,6930,9452,0.8407837152481079,2,35404,35371,2,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,1,3,1,8,4,5,28,42,-9,-9,4212,467,0,0,4106,0,1,26,4055,4337,1.0509796142578125,2,35404,35371,2,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,2,4,1,6,4,5,12,42,-9,-9,4472,489,0,0,4367,0,1,24,4314,4606,1.0509796142578125,2,35404,35371,1,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,2,3,1,6,3,5,28,42,-9,-9,4778,524,0,0,4673,0,1,29,4607,4921,1.0509796142578125,2,35404,35371,1,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,1,6,1,9,3,5,28,42,-9,-9,5071,555,0,0,4966,0,1,26,4892,5224,1.0509796142578125,2,35404,35371,1,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,1,21,1,7,4,5,28,42,-9,-9,5445,710,0,0,5341,0,1,48,5130,5610,1.0509796142578125,2,35404,35371,1,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,1,19,1,7,4,5,28,42,-9,-9,5726,699,0,0,5621,0,1,42,5446,5899,1.0509796142578125,2,35404,35371,2,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,1,25,1,6,4,5,28,42,-9,-9,5726,952,0,0,5621,0,1,46,5172,5899,1.0509796142578125,2,35404,35371,1,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,1,32,1,7,4,5,12,42,-9,-9,5958,946,0,0,5854,0,1,61,5431,6139,1.0509796142578125,2,35404,35371,1,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,1,19,1,6,3,5,28,42,-9,-9,6054,735,0,0,5950,0,1,38,5763,6238,1.0509796142578125,2,35404,35371,2,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,1,20,1,6,3,5,28,42,-9,-9,6189,749,0,0,6085,0,1,44,5894,6377,1.0509796142578125,2,35404,35371,2,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,1,21,1,7,3,5,28,42,-9,-9,6189,752,0,0,6085,0,1,42,5891,6377,1.0509796142578125,2,35404,35371,2,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,1,4,1,6,3,5,28,42,-9,-9,6189,758,0,0,6085,0,1,43,5884,6377,1.0509796142578125,2,35404,35371,1,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,1,31,1,7,3,4,28,42,-9,-9,6189,805,0,0,6085,0,1,51,5834,6377,1.0509796142578125,2,35404,35371,2,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,1,26,1,6,3,4,28,42,-9,-9,6189,843,0,0,6085,0,1,46,5792,6377,1.0509796142578125,2,35404,35371,1,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,1,21,1,7,3,5,28,42,-9,-9,6189,845,0,0,6085,0,1,46,5790,6377,1.0509796142578125,2,35404,35371,2,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,1,32,1,7,3,5,12,42,-9,-9,6189,890,0,0,6085,0,1,55,5742,6377,1.0509796142578125,2,35404,35371,2,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,1,35,1,7,3,5,12,42,-9,-9,6189,984,0,0,6085,0,1,60,5640,6377,1.0509796142578125,2,35404,35371,2,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,1,42,1,7,3,5,28,42,-9,-9,6189,984,0,0,6085,0,1,60,5640,6377,1.0509796142578125,2,35404,35371,2,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,2,2,1,6,3,5,12,42,-9,-9,6365,775,0,0,6260,0,1,53,6057,6559,1.0509796142578125,2,35404,35371,3,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,2,2,1,1,3,5,28,42,-9,-9,6386,704,0,0,6281,0,1,31,6156,6580,1.0509796142578125,2,35404,35371,1,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,1,21,1,6,3,4,12,42,-9,-9,6418,782,0,0,6313,0,1,53,6107,6613,1.0509796142578125,2,35404,35371,2,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,1,20,1,6,3,4,12,42,-9,-9,6487,841,0,0,6313,0,1,49,6113,6679,1.0509796142578125,2,35404,35371,2,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,1,36,1,7,3,5,28,42,-9,-9,6189,774,378,0,6085,0,1,54,6204,6737,1.0509796142578125,2,35404,35371,3,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,1,38,1,6,3,3,12,42,-9,-9,6721,1092,0,0,6548,0,1,60,6095,6921,1.0509796142578125,2,35404,35371,2,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,1,31,1,6,3,2,12,42,-9,-9,6890,850,0,0,6785,0,1,53,6545,7100,1.0509796142578125,2,35404,35371,2,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,1,15,1,6,3,4,12,42,-9,-9,6890,850,0,0,6785,0,1,36,6545,7100,1.0509796142578125,2,35404,35371,1,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,2,27,1,6,3,3,28,42,-9,-9,6890,904,0,0,6785,0,1,47,6486,7100,1.0509796142578125,2,35404,35371,1,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,1,33,1,7,3,3,28,42,-9,-9,6258,810,755,0,6085,0,1,54,6568,7162,1.0509796142578125,2,35404,35371,2,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,1,44,1,7,3,3,28,42,-9,-9,6959,1136,0,0,6785,0,1,61,6305,7166,1.0509796142578125,2,35404,35371,2,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,2,3,1,6,3,5,12,42,-9,-9,6987,780,0,0,6849,0,1,34,6724,7198,1.0509796142578125,2,35404,35371,2,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,2,3,1,1,3,5,28,42,-9,-9,7003,866,0,0,6898,0,1,35,6650,7217,1.0509796142578125,2,35404,35371,1,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,2,1,1,6,3,5,23,42,-9,-9,7135,800,0,0,7030,0,1,33,6865,7353,1.0509796142578125,2,35404,35371,1,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,2,12,1,6,3,3,23,42,-9,-9,7427,927,0,0,7322,0,1,39,7044,7654,1.0509796142578125,2,35404,35371,1,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,1,2,1,6,2,5,12,42,-9,-9,7703,1093,0,0,7598,0,1,45,7164,7939,1.0509796142578125,2,35404,35371,1,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,2,37,1,6,3,3,23,42,-9,-9,7757,1294,0,0,7618,0,1,59,7002,7992,1.0509796142578125,2,35404,35371,1,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,2,2,1,1,2,5,28,42,-9,-9,8375,982,0,0,8318,0,1,33,8016,8636,1.0509796142578125,2,35404,35371,1,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,2,6,1,2,2,5,23,42,-9,-9,8567,1238,0,0,8462,0,1,46,7944,8830,1.0509796142578125,2,35404,35371,1,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,2,9,1,1,2,3,23,42,-9,-9,8891,1052,0,0,9225,0,1,34,8529,9200,1.0509796142578125,2,35404,35371,1,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,1,23,1,6,1,1,24,42,-9,-9,12178,1862,0,0,12676,0,1,45,11227,12604,1.0509796142578125,2,35404,35371,3,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,1,21,1,1,1,1,24,42,-9,-9,12526,1797,0,0,12676,0,1,49,11650,12935,1.0509796142578125,2,35404,35371,2,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
10819330,1.0009329319000244,2,5,1,2,1,1,24,42,-9,-9,13280,2093,0,0,13798,0,1,46,12174,13743,1.0509796142578125,2,35404,35371,2,3,1,42,0,35404,1,75,7511A,84,84,841000,1580,VD,2010
